Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"你離開了南京，從此沒有人和我說話","李志","梵高先生","Favorite Songs","Favorite","CNZ501801341","67eMv1wT1yXhW9jrCPGIVD"
"理由 - Live","趙紫驊","2020中国好声音 第4期 (Live)","Favorite Songs","Favorite","HKG732124348","0oJ7sq95WsG08MTtWpUf4v"
"如風","Faye Wong","極品天碟 王菲 (1)","Favorite Songs","Favorite","HKG079900357","16iKCsFaIoRHJWKrkaujly"
"理想三旬","陳鴻宇","浓烟下的诗歌电台","Favorite Songs","Favorite","HKG732122115","0pCx1pXDddmuhcsMXGurwD"
"You Come and Go","DANY CARL","You Come and Go","Favorite Songs","Favorite","QZNJZ2448292","4gZ98FhgSstyKQ1My4sy4t"
"如何掉眼淚 - Live","Sammi Cheng","You & Mi 鄭秀文世界巡迴演唱會 (Live)","Favorite Songs","Favorite","HKH612500026","4ctwsHlRu0pkWSCwardW5B"
"情人劫","Lao Lang","北京的冬天","Favorite Songs","Favorite","HKE670700223","6psLHlOFNWcNyeB3ph8nE0"
"黑暗中漫舞","Eason Chan","Shall We Dance? Shall We Talk!","Favorite Songs","Favorite","hkh090112513","516DXU8sYL46s1HQE2rx9r"
"晴天","Jay Chou","葉惠美","Favorite Songs","Favorite","TWK970300503","5pIcwtJYNJx93l420oR2Vm"
"骇河街","四熹丸子","骇河街","Favorite Songs","Favorite","FR96X2508058","3EhMyZVwoNpWVyfEeh9sOU"
"The Ludlows (From ""Legends Of The Fall"" Soundtrack)","James Horner","Legends Of The Fall Original Motion Picture Soundtrack","Favorite Songs","Favorite","USSM10017402","6vtY2LUeXJ7KISwgiTu0Ph"
"關於鄭州的記憶","李志","你好,鄭州","Favorite Songs","Favorite","CNZ501801304","1wFROudevSHtz7NegT9GeX"
"不要問我過的好不好","南方二重唱","金選集","Favorite Songs","Favorite","TWA330302502","60dn8uwQ7XUAcpRthT9TXz"
"不谓侠","萧忆情","不谓侠","Favorite Songs","Favorite","HKD012387564","4TFnF3h9IJYZXPdo5EGJn8"
"不谓侠 - Dj阿布版","于春洋","不谓侠","Favorite Songs","Favorite","FR2X42557543","6i6rY5ZpqRehiGFOCKk4qS"
"是你 - Live","Jane Zhang","天赐的声音第四季 (第5期Live)","Favorite Songs","Favorite","HKD012301163","47qRVFSWe652gcUjco279e"
"逝","Summer Lei","2003逝","Favorite Songs","Favorite","TWA470342001","2RtK2Iw7AWOhKANuC1SBuC"
"东北民谣","Mao Buyi","小王","Favorite Songs","Favorite","TWU711905606","0ql5cK3jTjKGctHJ6HvAJG"
"南方 南方","张小九","南方 南方","Favorite Songs","Favorite","QZZ972334125","4xKYpuHHSsLDcbJTCqWt4R"
"程艾影","Zhao Lei","署前街少年","Favorite Songs","Favorite","CNZ882302274","3rKkFDJMRyLfcBjppFEpyB"
"暮色回响 - 电影《默杀》推广曲","张韶涵","暮色回响 (电影《默杀》推广曲)","Favorite Songs","Favorite","DGA072444206","34lHeTk1cdLlQLJgmqSY9y"
